Date,<TICKER>,<OPEN>,<CLOSE>,<VOL>,Year,Country,GDP,GNI (USD),Population,Exchange Rate (AMA)
01-23,USNM,985.47,983.72,124132675.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-24,USNM,986.9,991.32,177319926.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-25,USNM,993.55,996.31,147578025.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-26,USNM,995.5,991.76,121334605.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-27,USNM,993.8,994.65,114093518.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-30,USNM,994.33,984.67,143980006.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-31,USNM,986.94,986.53,175017746.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-01,USNM,988.34,983.55,128587688.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-02,USNM,985.17,984.5,119895165.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-03,USNM,989.32,994.21,126309954.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-06,USNM,998.17,997.85,156050176.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-07,USNM,1000.17,1000.07,197622618.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-08,USNM,1002.69,997.01,143883031.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-09,USNM,998.65,1000.04,128816821.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-10,USNM,1002.32,1008.38,148831996.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-13,USNM,1011.5,1011.43,161468027.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-14,USNM,1012.4,1011.08,212697159.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-15,USNM,1011.12,1010.39,116834688.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-16,USNM,1010.49,1007.01,127481559.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-17,USNM,1007.28,1005.73,136322291.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
02-21,USNM,1007.72,1006.59,141006257.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
