Country,Date,<OPEN>,<CLOSE>,<VOL>,GDP,GNI (USD),Population,Exchange Rate (AMA)
Poland,2018-04-22,818.83,816.2145,24098136.75,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-04-29,800.8055,796.745,30314520.4,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-05-06,793.3958333333334,792.84,22953666.5,589000000000.0,564000000000.0,38521457.0,3.611716667
Poland,2018-05-13,789.8175,790.364,28977518.3,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-05-20,788.5105,785.6,31546127.75,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-05-27,774.405,771.8439999999999,32306664.85,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-06-03,762.085625,760.64375,61127138.75,589000000000.0,564000000000.0,38521457.0,3.611716667
Poland,2018-06-10,761.964,762.9305,30260177.5,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-06-17,764.4085,762.7625,32670607.05,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-06-24,749.3305,746.9739999999999,27119264.65,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-07-01,741.6995,740.2515000000001,28215806.7,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-07-08,740.5115,740.986,21289454.35,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-07-15,741.948,741.3615,27096635.15,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-07-22,738.707,737.6365,28342816.15,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-07-29,743.746,745.277,27946782.65,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-08-05,751.6479999999999,752.2165,26111726.7,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-08-12,752.13,750.036,28855795.05,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-08-19,742.23375,740.2112500000001,31363205.4375,589000000000.0,564000000000.0,38521457.0,3.611716667
Poland,2018-08-26,734.658,734.6175000000001,32903936.95,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-09-02,741.6110000000001,741.2715000000001,33912740.5,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-09-09,724.6965,718.082,41578760.8,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-09-16,700.0600000000001,698.729,40197796.1,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-09-23,701.5575,702.134,60984792.95,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-09-30,707.1625,706.6800000000001,35798944.1,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-10-07,702.533,701.9275,28234943.15,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-10-14,692.7545,690.1475,26614064.4,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-10-21,688.363,688.097,27567433.15,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-10-28,681.0455,677.842,22893981.7,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-11-04,670.089375,670.34,31335278.0625,589000000000.0,564000000000.0,38521457.0,3.611716667
Poland,2018-11-11,677.288,676.8605,33019874.85,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-11-18,667.109375,663.74125,49020062.8125,589000000000.0,564000000000.0,38521457.0,3.611716667
Poland,2018-11-25,655.2520000000001,656.2235,66196096.95,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-12-02,661.793,662.4665,45285983.7,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-12-09,670.054,670.5005,42534766.05,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-12-16,660.0575,659.836,45597843.25,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-12-23,658.7760000000001,656.9555,54340472.6,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-12-30,651.4187499999999,651.85875,27215677.375,589000000000.0,564000000000.0,38521457.0,3.611716667
Poland,2019-01-06,656.6391666666667,659.7158333333333,25039483.25,596000000000.0,571000000000.0,38493601.0,3.839375
Poland,2019-01-13,668.167,669.799,35989950.3,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-01-20,674.8765000000001,676.5035,36561924.5,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-01-27,681.3435000000001,682.0764999999999,33097477.3,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-02-03,688.4795,689.717,40628887.9,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-02-10,696.909,697.373,41807083.7,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-02-17,697.0455,696.5085,43971096.2,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-02-24,697.92,698.6,39696481.85,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-03-03,703.3399999999999,703.5665,32583075.05,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-03-10,706.068,706.164,28903840.65,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-03-17,707.656,709.0600000000001,38519333.9,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-03-24,712.4645,710.4925000000001,28568326.45,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-03-31,703.1215,701.774,23223275.1,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-04-07,708.3355,709.111,28628948.5,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-04-14,706.165,705.3595,24733106.0,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-04-21,703.7318750000001,703.22,26172257.5625,596000000000.0,571000000000.0,38493601.0,3.839375
Poland,2019-04-28,701.276875,700.105,25333656.3125,596000000000.0,571000000000.0,38493601.0,3.839375
Poland,2019-05-05,695.9699999999999,692.1841666666668,29062291.916666668,596000000000.0,571000000000.0,38493601.0,3.839375
Poland,2019-05-12,676.658,672.038,30952257.95,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-05-19,665.216,663.585,28994999.45,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-05-26,658.5165,656.6135,24267203.2,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-06-02,651.172,651.9644999999999,31490352.95,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-06-09,652.271,652.6515,29912623.55,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-06-16,657.3100000000001,656.966,28636254.25,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-06-23,658.82375,659.655625,37577097.125,596000000000.0,571000000000.0,38493601.0,3.839375
Poland,2019-06-30,661.566,662.5665,27328953.6,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-07-07,667.3595,667.235,25391903.45,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-07-14,665.382,665.02,29408165.4,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-07-21,663.1614999999999,662.5345,28323581.0,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-07-28,661.4359999999999,659.96,21280332.15,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-08-04,653.318,650.948,25003200.55,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-08-11,638.4345000000001,635.7375,26506962.25,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-08-18,631.78625,629.306875,24217897.375,596000000000.0,571000000000.0,38493601.0,3.839375
Poland,2019-08-25,627.3795,626.679,23139844.8,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-09-01,623.045,624.0115,26908239.15,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-09-08,628.604,627.6345,23222474.65,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-09-15,631.978,633.249,30532959.35,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-09-22,635.8345,635.292,44047024.1,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-09-29,631.1524999999999,631.2850000000001,31942537.05,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-10-06,625.418,622.4825,28825131.6,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-10-13,623.9405,625.6645,22769003.5,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-10-20,631.838,631.8995,22186032.85,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-10-27,634.408,634.076,22996992.9,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-11-03,634.099375,633.67125,26539590.1875,596000000000.0,571000000000.0,38493601.0,3.839375
Poland,2019-11-10,638.396,640.609,31940574.05,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-11-17,642.774375,642.92625,29970113.8125,596000000000.0,571000000000.0,38493601.0,3.839375
Poland,2019-11-24,640.4739999999999,639.4195,25145613.0,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-12-01,638.621,638.4035,28241689.75,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-12-08,632.4745,630.774,28498760.65,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-12-15,629.434,629.5944999999999,25629097.2,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-12-22,631.083,630.515,36920120.95,596000000000.0,571000000000.0,38493601.0,3.8393749999999995
Poland,2019-12-29,630.28125,632.74125,21025937.25,596000000000.0,571000000000.0,38493601.0,3.839375
Poland,2020-01-05,640.9433333333333,645.8066666666667,22233191.666666668,598000000000.0,575000000000.0,38450111.0,3.8796194446666665
Poland,2020-01-12,647.3275,647.53,26950475.25,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-01-19,656.008,658.161,35434699.15,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-01-26,661.7785,662.101,30709559.1,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-02-02,657.3165,655.3545,33081232.1,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-02-09,659.1115,661.5795,31301276.35,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-02-16,667.6175000000001,668.147,27713910.1,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-02-23,671.5285,671.3495,28773897.2,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-03-01,639.8895,625.1895000000001,51549933.0,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-03-08,604.8195,605.755,40049639.2,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-03-15,541.422,519.411,60577151.95,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-03-22,500.14399999999995,504.40150000000006,79084816.05,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-03-29,511.25,509.68,47759928.9,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-04-05,516.177,517.241,67529045.05,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-04-12,540.325625,547.4675,82474656.3125,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-04-19,566.36125,570.009375,63326379.75,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-04-26,577.993,577.7189999999999,48202201.6,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-05-03,586.898125,588.294375,56324645.25,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-05-10,590.671,589.78,39896344.5,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-05-17,597.3565000000001,597.101,41744777.3,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-05-24,604.926,607.4449999999999,43346303.75,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-05-31,623.2395,627.1915,77057490.15,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-06-07,647.8035,654.109,68640512.45,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-06-14,671.839375,674.9425,83711312.5,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-06-21,678.5055,681.12,75708032.85,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-06-28,697.6875,696.9110000000001,59729621.7,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-07-05,695.9745,698.4314999999999,48010852.8,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-07-12,720.624,725.3255,54940500.4,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-07-19,742.2425000000001,743.4559999999999,77659332.15,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-07-26,763.0835,768.2735,87362308.35,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-08-02,782.042,779.482,87328517.75,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-08-09,789.9235,792.735,68991238.75,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-08-16,790.9185,790.917,60769885.35,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-08-23,792.625,790.973,51599894.0,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-08-30,789.9745,789.563,45870352.6,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-09-06,776.0915,770.228,49453482.25,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-09-13,745.1995,743.6034999999999,46996939.15,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-09-20,751.1515,751.3795,49025527.15,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-09-27,739.139,735.396,53901496.8,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-10-04,740.7965,742.2375,52664984.15,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-10-11,750.604,750.8824999999999,79718542.0,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-10-18,734.7864999999999,730.485,78817540.55,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-10-25,724.17,722.6465000000001,52596036.75,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-11-01,695.5024999999999,685.367,66576631.45,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-11-08,688.839,695.87,52270364.0,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-11-15,723.13125,730.681875,71168930.6875,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-11-22,744.0029999999999,746.5699999999999,53991144.9,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-11-29,756.5775,757.2180000000001,48181861.35,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-12-06,753.25,754.1535,50444714.65,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-12-13,769.3925,770.797,71036572.3,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-12-20,769.6455,768.512,62095101.1,599000000000.0,577000000000.0,38428366.0,3.899741667
Poland,2020-12-27,760.13,758.5575,49760200.166666664,599000000000.0,577000000000.0,38428366.0,3.8997416669999994
Poland,2021-01-03,773.2158333333333,780.2933333333334,64420145.083333336,599000000000.0,577000000000.0,38428366.0,3.8997416669999994
Poland,2021-01-10,808.09,818.5825,79845868.75,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-01-17,833.857,832.4885,61488377.95,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-01-24,838.7450000000001,840.2305,52608212.35,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-01-31,835.7495000000001,834.6725,66281073.3,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-02-07,842.025,844.483,81074934.6,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-02-14,862.6495000000001,865.8340000000001,65696356.3,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-02-21,884.9865,887.0409999999999,82154690.25,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-02-28,881.5959999999999,878.8684999999999,64244042.05,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-03-07,885.152,887.6575,56729526.0,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-03-14,898.807,901.311,51932260.35,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-03-21,904.36,902.7280000000001,74055822.7,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-03-28,895.1965,894.3745000000001,52029331.25,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-04-04,900.268125,901.709375,43222212.8125,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-04-11,917.679375,921.933125,47520137.1875,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-04-18,927.8190000000001,927.408,46530932.65,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-04-25,912.7535,907.8004999999999,41594726.75,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-05-02,903.5264999999999,905.7455,49268435.6,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-05-09,909.87875,910.344375,42456995.125,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-05-16,917.1120000000001,917.1115,41766975.2,679000000000.0,648000000000.0,38307726.0,3.861916667
